Code,MthEnd,MthFwdReturn,MthEndMCap
DVN,30-09-2010,0.4325,28161.9
EMC,30-09-2010,3.4958,41706.9
ETR,30-09-2010,-2.6134,14297
FCX,30-09-2010,11.3503,40170.6
HNZ,30-09-2010,3.6732,15079.5
HPQ,30-09-2010,-0.0713,95403.9
HSH,30-09-2010,6.7014,8585.1
NOV,30-09-2010,20.8905,18636.6
NSC,30-09-2010,3.3272,21936.3
NYX,30-09-2010,7.2454,7456.8
RF,30-09-2010,-13.3425,9130.7
WMB,30-09-2010,12.5589,11173
WY,30-09-2010,2.9188,8447.4
XRX,30-09-2010,13.0338,14314.5
AAPL,31-10-2010,3.379,276091.1
ABBV,31-10-2010,NA,NA
ABT,31-10-2010,-9.3726,79239.6
ACN,31-10-2010,-3.1089,31460.8
AGN,31-10-2010,4.4802,5825.5
AIG,31-10-2010,-1.7139,29322.7
ALL,31-10-2010,-3.875,16409.2
AMGN,31-10-2010,-7.8685,54815.2
AMZN,31-10-2010,6.1551,74161.3
AXP,31-10-2010,4.2451,49885.2
BA,31-10-2010,-9.1754,51820.1
BAC,31-10-2010,-4.3585,114877.5
BIIB,31-10-2010,2.0092,14943.9
BK,31-10-2010,7.7015,30423.9
BLK,31-10-2010,-4.6728,32746.9
BMY,31-10-2010,-6.171,46044.3
BRK/B,31-10-2010,0.1508,196572.4
C,31-10-2010,0.7194,120819.6
CAT,31-10-2010,7.6336,49555.1
CELG,31-10-2010,-4.2721,28499.9
CHTR,31-10-2010,3.202,3652.6
CL,31-10-2010,-0.7391,37224.6
CMCSA,31-10-2010,-2.863,56981.2
COF,31-10-2010,0.0216,16868.4
COP,31-10-2010,1.3176,88093.2
COST,31-10-2010,7.7107,27137.6
CSCO,31-10-2010,-16.1855,127679.2
CVS,31-10-2010,2.8875,40923.1
CVX,31-10-2010,-1.1177,166075
DHR,31-10-2010,-0.2537,28355.5
DIS,31-10-2010,1.0657,69092.9
DUK,31-10-2010,-2.3162,24013.6
DWDP,31-10-2010,1.1025,35769.9
EMR,31-10-2010,0.9257,41307.2
EXC,31-10-2010,-2.3059,26998.9
F,31-10-2010,12.8096,48597.6
FB,31-10-2010,NA,NA
FDX,31-10-2010,4.0191,27600.4
FOX,31-10-2010,-5.2828,39240.4
FOXA,31-10-2010,-5.8011,39240.4
GD,31-10-2010,-2.98,25911.1
GE,31-10-2010,-1.186,171273.3
GILD,31-10-2010,-7.9909,33268.6
GM,31-10-2010,NA,NA
GOOG,31-10-2010,NA,196246
GOOGL,31-10-2010,-9.4492,196246
GS,31-10-2010,-2.8797,87767.3
HAL,31-10-2010,18.7696,28977.8
HD,31-10-2010,-1.4684,51457.8
HON,31-10-2010,6.1728,36753.9
IBM,31-10-2010,-1.0531,178403.1
INTC,31-10-2010,6.3352,111638.4
JNJ,31-10-2010,-2.5988,175568.3
JPM,31-10-2010,-0.6112,147727.9
KHC,31-10-2010,NA,NA
KMI,31-10-2010,NA,NA
KO,31-10-2010,3.732,142387.1
LLY,31-10-2010,-3.0359,40590.6
LMT,31-10-2010,-3.5093,25673.6
LOW,31-10-2010,6.373,29945.9
MA,31-10-2010,-1.2622,31527.5
MCD,31-10-2010,1.4663,82773.6
MDLZ,31-10-2010,-6.2597,56280.7
MDT,31-10-2010,-4.8254,38044.4
MET,31-10-2010,-3.7427,36566.8
MMM,31-10-2010,0.3386,60060.2
MO,31-10-2010,-5.5769,53067.4
MON,31-10-2010,0.8415,31872.4
MRK,31-10-2010,-5.0675,111602.2
MS,31-10-2010,-1.6486,34742.6
MSFT,31-10-2010,-4.6913,228133
NEE,31-10-2010,-7.1319,22887.9
NKE,31-10-2010,5.7588,38917.9
ORCL,31-10-2010,-7.9476,147696.6
OXY,31-10-2010,12.1328,63866.7
PCLN,31-10-2010,4.5753,18232.7
PEP,31-10-2010,-1.026,103490.1
PFE,31-10-2010,-5.4332,139986.6
PG,31-10-2010,-3.9327,177944.7
PM,31-10-2010,-2.7688,107241.2
PYPL,31-10-2010,NA,NA
QCOM,31-10-2010,4.0895,72490.6
RTN,31-10-2010,0.3689,16798.1
SBUX,31-10-2010,7.6096,21137.3
SLB,31-10-2010,10.9614,95356.5
SO,31-10-2010,-0.3961,31458.8
